"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00102404","1971","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       114","E","        63","E","         1","E","","","","","","","","","","","","","","","","","  38.1"," ,E,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    599.9"," ,E","","","","","",""
"GME00102404","1972","47.6781","9.1908","443.0","KONSTANZ, GM","","","","","       129","E","        73","E","         3","E","","","","","","","","","","","","","","","","","  58.5"," ,E,0721, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    718.3"," ,E","","","","","",""
"GME00102404","1973","47.6781","9.1908","443.0","KONSTANZ, GM","    152.1","","     152.1","E","       156","E","        83","E","         5","E","       13","","         0","E","        98","E","        19","E","        96","E","         0","E","  -13.7","E,1203, ","    90"," ,E,1202,+","  62.0"," ,E,0706, ","   32.1","E,0806, ","-0.9","E,1026","-2.8","E,1127","-4.5","E,1128","-7.1","E,1130","-12.4","E,1202","-1.3","E,0422","-4.7","E,0312","-4.7","E,0312","-7.3","E,0301","","","","","","","    838.2"," ,E","      9.27","E","     13.08","E","      5.47","E"
"GME00102404","1974","47.6781","9.1908","443.0","KONSTANZ, GM","     99.2","","      99.2","E","       163","E","        96","E","         3","E","        1","","         0","E","        39","E","         3","E","        83","E","         0","E","   -4.6","E,0228, ","    30"," ,E,0316, ","  35.4"," ,E,0623, ","   31.6","E,0817, ","-0.3","E,1017","-4.1","E,1214","","","","","","","0.0","E,0420","-3.8","E,0303","-4.6","E,0228","","","","","    3150.5","5","    3150.5","E","    881.3"," ,E","      9.97","E","     13.78","E","      6.16","E"
"GME00102404","1975","47.6781","9.1908","443.0","KONSTANZ, GM","    140.7","","     140.7","E","       136","E","        81","E","         6","E","       11","","         0","E","        75","E","        15","E","        92","E","         0","E","   -9.5","E,1220, ","    90"," ,E,0410, ","  77.2"," ,E,0811, ","   31.0","E,0804, ","-0.4","E,1121","-4.8","E,1123","-4.8","E,1123","-7.0","E,1124","-9.5","E,1220","-0.3","E,0411","-2.2","E,0402","","","","","","","    3266.3","3","    3266.3","E","    964.1"," ,E","      9.83","E","     13.48","E","      6.19","E"
"GME00102404","1976","47.6781","9.1908","443.0","KONSTANZ, GM","    154.5","","     154.5","E","       157","E","        74","E","         2","E","       33","","         0","E","        73","E","        26","E","        88","E","         1","E","  -10.4","E,0129, ","   110"," ,E,1213, ","  30.5"," ,E,0601, ","   32.4","E,0705, ","-0.1","E,1124","-3.0","E,1211","-4.4","E,1214","-6.9","E,1216","","","0.0","E,0430","-4.8","E,0322","-4.8","E,0322","-7.1","E,0131","-9.5","E,0130","    3223.5","5","    3223.5","E","    743.3"," ,E","      9.80","E","     13.83","E","      5.77","E"
"GME00102404","1977","47.6781","9.1908","443.0","KONSTANZ, GM","     63.6","","      63.6","E","       172","E","        94","E","         4","E","       20","","         0","E","        62","E","        12","E","        74","E","         1","E","   -5.8","E,0119,+","   290"," ,E,0115, ","  37.2"," ,E,0621, ","   33.7","E,0613, ","-0.9","E,1120","-3.8","E,1129","-5.6","E,1201","","","","","-0.7","E,0411","-2.3","E,0331","-5.8","E,0119","","","","","    3194.9","9","    3194.9","E","    878.9"," ,E","      9.95","E","     13.69","E","      6.21","E"
"GME00102404","1978","47.6781","9.1908","443.0","KONSTANZ, GM","     58.6","","      58.6","E","       170","E","        96","E","         5","E","       21","","         0","E","        72","E","        27","E","        67","E","         0","E","   -7.5","E,0106, ","   280"," ,E,0221,+","  81.4"," ,E,0807, ","   29.6","E,0729, ","-0.2","E,1125","-2.2","E,1128","-5.5","E,1204","","","","","-0.3","E,0418","-3.3","E,0221","-5.0","E,0220","-7.5","E,0106","","","    3360.5","5","    3360.5","E","   1024.3"," ,E","      8.87","E","     12.47","E","      5.27","E"
"GME00102404","1979","47.6781","9.1908","443.0","KONSTANZ, GM","     93.1","","      93.1","E","       184","E","        97","E","         5","E","       36","","         0","E","        62","E","        16","E","        86","E","         0","E","  -12.6","E,0105, ","   240"," ,E,0127, ","  38.7"," ,E,0921, ","   31.1","E,0530, ","-0.3","E,1104","-3.8","E,1112","","","","","","","-0.5","E,0506","-2.2","E,0302","-6.2","E,0228","-6.7","E,0126","-10.8","E,0119","    3472.9","9","    3472.9","E","    982.9"," ,E","      9.48","E","     13.30","E","      5.67","E"
"GME00102404","1980","47.6781","9.1908","443.0","KONSTANZ, GM","     85.1","","      85.1","E","       181","E","        97","E","         0","E","       19","","         0","E","        85","E","        30","E","        68","E","         1","E","  -10.7","E,1202, ","   110"," ,E,1205, ","  21.0"," ,E,0607, ","   32.3","E,0614, ","-1.6","E,1102","-2.2","E,1103","-8.4","E,1201","-8.4","E,1201","-10.7","E,1202","-0.3","E,0412","-3.1","E,0305","-5.4","E,0128","-8.4","E,0116","","","    3355.3","3","    3355.3","E","    787.5"," ,E","      8.78","E","     12.58","E","      4.99","E"
